Timestamp,Speed,DistanceFromCenter,TrackAngle,TrackDistance,WorldPosition,WorldRotation,Throttle,Brakes,Steering,Gear
1731746356.3308444;0.25506106;-3.88550448;-0.815653741;2005.24292;{'X': -8.510796, 'Y': -0.0539346933, 'Z': 3.92987061};{'X': 359.975067, 'Y': -0.009643555, 'Z': 5.58288e-05};3;0;40;2
1731746356.3474426;0.6864732;-3.885596;-0.8242449;2005.24243;{'X': -8.511227, 'Y': -0.0539346933, 'Z': 3.92996216};{'X': 359.975067, 'Y': -0.0206604, 'Z': 6.516945e-05};2;0;40;2
1731746356.3650935;0.2196939;-3.88579416;-0.8232948;2005.24133;{'X': -8.512379, 'Y': -0.05393493, 'Z': 3.93017578};{'X': 359.975037, 'Y': -0.0190505981, 'Z': 0.000103009792};2;0;40;2
1731746356.3795102;-0.472726017;-3.88588572;-0.82258147;2005.24048;{'X': -8.513172, 'Y': -0.05393493, 'Z': 3.93028259};{'X': 359.975037, 'Y': -0.0185852051, 'Z': 9.460712e-05};6;0;40;2
1731746356.3965638;0.7154016;-3.88606858;-0.8311011;2005.23926;{'X': -8.514435, 'Y': -0.05393529, 'Z': 3.930481};{'X': 359.975, 'Y': -0.02861023, 'Z': 0.000106755891};6;0;40;2
1731746356.4131727;0.7154016;-3.88606858;-0.8311011;2005.23926;{'X': -8.514435, 'Y': -0.05393529, 'Z': 3.930481};{'X': 359.975, 'Y': -0.02861023, 'Z': 0.000106755891};2;0;40;2
1731746356.4298396;0.355873883;-3.886282;-0.830630064;2005.238;{'X': -8.51556, 'Y': -0.053935647, 'Z': 3.93070984};{'X': 359.975, 'Y': -0.0281295776, 'Z': 0.000120085278};3;0;40;2
1731746356.4476495;0.019155642;-3.88643432;-0.8289794;2005.2373;{'X': -8.516327, 'Y': -0.0539358854, 'Z': 3.93087769};{'X': 359.975, 'Y': -0.0263214111, 'Z': 0.000104142877};6;0;40;2
1731746356.465759;0.110114649;-3.88654113;-0.8355626;2005.23657;{'X': -8.517036, 'Y': -0.0539362431, 'Z': 3.93099976};{'X': 359.975037, 'Y': -0.0339355469, 'Z': 9.161142e-05};6;0;40;2
1731746356.4813673;0.3955008;-3.886663;-0.844182968;2005.236;{'X': -8.517746, 'Y': -0.05393648, 'Z': 3.93112183};{'X': 359.975067, 'Y': -0.04459381, 'Z': 6.992774e-05};3;0;40;2
1731746356.4976065;0.7266544;-3.88687658;-0.844646454;2005.23486;{'X': -8.518749, 'Y': -0.05393696, 'Z': 3.93135071};{'X': 359.975037, 'Y': -0.0450668335, 'Z': 8.860071e-05};2;0;40;2
1731746356.5132005;0.7266544;-3.88687658;-0.844646454;2005.23486;{'X': -8.518749, 'Y': -0.05393696, 'Z': 3.93135071};{'X': 359.975037, 'Y': -0.0450668335, 'Z': 8.860071e-05};2;0;40;2
1731746356.531035;-0.0448658057;-3.88692212;-0.843951166;2005.23462;{'X': -8.519035, 'Y': -0.0539371967, 'Z': 3.93139648};{'X': 359.975067, 'Y': -0.04433441, 'Z': 5.65875162e-05};4;0;40;2
1731746356.5485923;0.6467186;-3.887029;-0.849497557;2005.23376;{'X': -8.51984, 'Y': -0.0539374352, 'Z': 3.93151855};{'X': 359.975067, 'Y': -0.0510787964, 'Z': 4.83899639e-05};9;0;40;2
1731746356.565742;-0.248228788;-3.88710523;-0.846959949;2005.2334;{'X': -8.520294, 'Y': -0.0539377928, 'Z': 3.93161};{'X': 359.975067, 'Y': -0.048034668, 'Z': 4.18407471e-05};0;0;40;2
1731746356.5809412;-7.306651e-05;-3.88708973;-0.848806262;2005.2334;{'X': -8.52026, 'Y': -0.0539377928, 'Z': 3.93157959};{'X': 359.975067, 'Y': -0.0501785278, 'Z': 2.94752e-05};10;0;40;2
1731746356.6125646;0.7014372;-3.88710523;-0.850648463;2005.2334;{'X': -8.520195, 'Y': -0.0539377928, 'Z': 3.93159485};{'X': 359.9751, 'Y': -0.05239868, 'Z': 3.29770119e-05};3;0;40;1
